Company,OGPrice,DPrice,Discount,Link,Rating
Puma,"3,499","1,569",55,https://www.amazon.in/s?i=apparel&bbn=1968120031&rh=n%3A1968120031%2Cp_85%3A10440599031%2Cp_n_specials_match%3A21618256031%2Cp_89%3AAdidas%7CAllen+Solly%7CAmazon+Brand+-+Symbol%7CCalvin+Klein%7CChromozome%7CColumbia%7CDuke%7CFila%7CJack+%26+Jones%7CJockey%7CLee%7CLee+Cooper%7CLevi%27s%7CMarks+%26+Spencer%7CMonte+Carlo%7CNike%7CPARK+AVENUE%7CPark+Avenue%7CPepe+Jeans%7CPeter+England%7CPuma%7CRed+Tape%7CReebok%7CSpykar%7CTommy+Hilfiger%7CU.S.+POLO+ASSN.%7CUSPA%7CUnited+Colors+of+Benetton%7CVan+Heusen%7CVan+Heusen+Athleisure%7CWrangler%7Cblackberrys%2Cp_n_pct-off-with-tax%3A50-%2Cp_72%3A1318476031&s=review-rank&dc&hidden-keywords=-women-woman-short-girl-boy-shoe-pant&pf_rd_i=1968024031%2C1968024031%2C1968024031%2C80226347031&pf_rd_m=A1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF&pf_rd_p=39c07540-1c20-4bfc-a531-3c197ce08b4d%2Ca5f5c43e-cfc4-45c4-a60b-9e77b08f9433%2Cc7e10fa2-a46e-43e8-9b05-58ee2e051518%2C74ddd0ab-3943-417e-b57a-a94ca1df198a&pf_rd_r=BPPR7FMSDSNJ98RHWM2R%2CGGJ8GNJN3CSG17A83ST6%2CK1M2MG5Z769C057N0ZDB%2CVRJBF5CHSTVE3F8NZEND&pf_rd_s=merchandised-search-6%2Cmerchandised-search-7%2Cmerchandised-search-7%2Cmerchandised-search-7&qid=1693228388&rnid=1318475031&ref=sr_pg_1,
Puma,"1,999",899,55,https://www.amazon.in/s?i=apparel&bbn=1968120031&rh=n%3A1968120031%2Cp_85%3A10440599031%2Cp_n_specials_match%3A21618256031%2Cp_89%3AAdidas%7CAllen+Solly%7CAmazon+Brand+-+Symbol%7CCalvin+Klein%7CChromozome%7CColumbia%7CDuke%7CFila%7CJack+%26+Jones%7CJockey%7CLee%7CLee+Cooper%7CLevi%27s%7CMarks+%26+Spencer%7CMonte+Carlo%7CNike%7CPARK+AVENUE%7CPark+Avenue%7CPepe+Jeans%7CPeter+England%7CPuma%7CRed+Tape%7CReebok%7CSpykar%7CTommy+Hilfiger%7CU.S.+POLO+ASSN.%7CUSPA%7CUnited+Colors+of+Benetton%7CVan+Heusen%7CVan+Heusen+Athleisure%7CWrangler%7Cblackberrys%2Cp_n_pct-off-with-tax%3A50-%2Cp_72%3A1318476031&s=review-rank&dc&hidden-keywords=-women-woman-short-girl-boy-shoe-pant&pf_rd_i=1968024031%2C1968024031%2C1968024031%2C80226347031&pf_rd_m=A1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF&pf_rd_p=39c07540-1c20-4bfc-a531-3c197ce08b4d%2Ca5f5c43e-cfc4-45c4-a60b-9e77b08f9433%2Cc7e10fa2-a46e-43e8-9b05-58ee2e051518%2C74ddd0ab-3943-417e-b57a-a94ca1df198a&pf_rd_r=BPPR7FMSDSNJ98RHWM2R%2CGGJ8GNJN3CSG17A83ST6%2CK1M2MG5Z769C057N0ZDB%2CVRJBF5CHSTVE3F8NZEND&pf_rd_s=merchandised-search-6%2Cmerchandised-search-7%2Cmerchandised-search-7%2Cmerchandised-search-7&qid=1693228388&rnid=1318475031&ref=sr_pg_1,
Puma,"2,999","1,239",59,https://www.amazon.in/s?i=apparel&bbn=1968120031&rh=n%3A1968120031%2Cp_85%3A10440599031%2Cp_n_specials_match%3A21618256031%2Cp_89%3AAdidas%7CAllen+Solly%7CAmazon+Brand+-+Symbol%7CCalvin+Klein%7CChromozome%7CColumbia%7CDuke%7CFila%7CJack+%26+Jones%7CJockey%7CLee%7CLee+Cooper%7CLevi%27s%7CMarks+%26+Spencer%7CMonte+Carlo%7CNike%7CPARK+AVENUE%7CPark+Avenue%7CPepe+Jeans%7CPeter+England%7CPuma%7CRed+Tape%7CReebok%7CSpykar%7CTommy+Hilfiger%7CU.S.+POLO+ASSN.%7CUSPA%7CUnited+Colors+of+Benetton%7CVan+Heusen%7CVan+Heusen+Athleisure%7CWrangler%7Cblackberrys%2Cp_n_pct-off-with-tax%3A50-%2Cp_72%3A1318476031&s=review-rank&dc&hidden-keywords=-women-woman-short-girl-boy-shoe-pant&pf_rd_i=1968024031%2C1968024031%2C1968024031%2C80226347031&pf_rd_m=A1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF&pf_rd_p=39c07540-1c20-4bfc-a531-3c197ce08b4d%2Ca5f5c43e-cfc4-45c4-a60b-9e77b08f9433%2Cc7e10fa2-a46e-43e8-9b05-58ee2e051518%2C74ddd0ab-3943-417e-b57a-a94ca1df198a&pf_rd_r=BPPR7FMSDSNJ98RHWM2R%2CGGJ8GNJN3CSG17A83ST6%2CK1M2MG5Z769C057N0ZDB%2CVRJBF5CHSTVE3F8NZEND&pf_rd_s=merchandised-search-6%2Cmerchandised-search-7%2Cmerchandised-search-7%2Cmerchandised-search-7&qid=1693228388&rnid=1318475031&ref=sr_pg_1,
Puma,"2,299","1,079",53,https://www.amazon.in/s?i=apparel&bbn=1968120031&rh=n%3A1968120031%2Cp_85%3A10440599031%2Cp_n_specials_match%3A21618256031%2Cp_89%3AAdidas%7CAllen+Solly%7CAmazon+Brand+-+Symbol%7CCalvin+Klein%7CChromozome%7CColumbia%7CDuke%7CFila%7CJack+%26+Jones%7CJockey%7CLee%7CLee+Cooper%7CLevi%27s%7CMarks+%26+Spencer%7CMonte+Carlo%7CNike%7CPARK+AVENUE%7CPark+Avenue%7CPepe+Jeans%7CPeter+England%7CPuma%7CRed+Tape%7CReebok%7CSpykar%7CTommy+Hilfiger%7CU.S.+POLO+ASSN.%7CUSPA%7CUnited+Colors+of+Benetton%7CVan+Heusen%7CVan+Heusen+Athleisure%7CWrangler%7Cblackberrys%2Cp_n_pct-off-with-tax%3A50-%2Cp_72%3A1318476031&s=review-rank&dc&hidden-keywords=-women-woman-short-girl-boy-shoe-pant&pf_rd_i=1968024031%2C1968024031%2C1968024031%2C80226347031&pf_rd_m=A1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF&pf_rd_p=39c07540-1c20-4bfc-a531-3c197ce08b4d%2Ca5f5c43e-cfc4-45c4-a60b-9e77b08f9433%2Cc7e10fa2-a46e-43e8-9b05-58ee2e051518%2C74ddd0ab-3943-417e-b57a-a94ca1df198a&pf_rd_r=BPPR7FMSDSNJ98RHWM2R%2CGGJ8GNJN3CSG17A83ST6%2CK1M2MG5Z769C057N0ZDB%2CVRJBF5CHSTVE3F8NZEND&pf_rd_s=merchandised-search-6%2Cmerchandised-search-7%2Cmerchandised-search-7%2Cmerchandised-search-7&qid=1693228388&rnid=1318475031&ref=sr_pg_1,
U.S. POLO ASSN.,"1,399",630,55,https://www.amazon.in/s?i=apparel&bbn=1968120031&rh=n%3A1968120031%2Cp_85%3A10440599031%2Cp_n_specials_match%3A21618256031%2Cp_89%3AAdidas%7CAllen+Solly%7CAmazon+Brand+-+Symbol%7CCalvin+Klein%7CChromozome%7CColumbia%7CDuke%7CFila%7CJack+%26+Jones%7CJockey%7CLee%7CLee+Cooper%7CLevi%27s%7CMarks+%26+Spencer%7CMonte+Carlo%7CNike%7CPARK+AVENUE%7CPark+Avenue%7CPepe+Jeans%7CPeter+England%7CPuma%7CRed+Tape%7CReebok%7CSpykar%7CTommy+Hilfiger%7CU.S.+POLO+ASSN.%7CUSPA%7CUnited+Colors+of+Benetton%7CVan+Heusen%7CVan+Heusen+Athleisure%7CWrangler%7Cblackberrys%2Cp_n_pct-off-with-tax%3A50-%2Cp_72%3A1318476031&s=review-rank&dc&hidden-keywords=-women-woman-short-girl-boy-shoe-pant&pf_rd_i=1968024031%2C1968024031%2C1968024031%2C80226347031&pf_rd_m=A1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF&pf_rd_p=39c07540-1c20-4bfc-a531-3c197ce08b4d%2Ca5f5c43e-cfc4-45c4-a60b-9e77b08f9433%2Cc7e10fa2-a46e-43e8-9b05-58ee2e051518%2C74ddd0ab-3943-417e-b57a-a94ca1df198a&pf_rd_r=BPPR7FMSDSNJ98RHWM2R%2CGGJ8GNJN3CSG17A83ST6%2CK1M2MG5Z769C057N0ZDB%2CVRJBF5CHSTVE3F8NZEND&pf_rd_s=merchandised-search-6%2Cmerchandised-search-7%2Cmerchandised-search-7%2Cmerchandised-search-7&qid=1693228388&rnid=1318475031&ref=sr_pg_1,
Puma,"3,999","1,879",53,https://www.amazon.in/s?i=apparel&bbn=1968120031&rh=n%3A1968120031%2Cp_85%3A10440599031%2Cp_n_specials_match%3A21618256031%2Cp_89%3AAdidas%7CAllen+Solly%7CAmazon+Brand+-+Symbol%7CCalvin+Klein%7CChromozome%7CColumbia%7CDuke%7CFila%7CJack+%26+Jones%7CJockey%7CLee%7CLee+Cooper%7CLevi%27s%7CMarks+%26+Spencer%7CMonte+Carlo%7CNike%7CPARK+AVENUE%7CPark+Avenue%7CPepe+Jeans%7CPeter+England%7CPuma%7CRed+Tape%7CReebok%7CSpykar%7CTommy+Hilfiger%7CU.S.+POLO+ASSN.%7CUSPA%7CUnited+Colors+of+Benetton%7CVan+Heusen%7CVan+Heusen+Athleisure%7CWrangler%7Cblackberrys%2Cp_n_pct-off-with-tax%3A50-%2Cp_72%3A1318476031&s=review-rank&dc&hidden-keywords=-women-woman-short-girl-boy-shoe-pant&pf_rd_i=1968024031%2C1968024031%2C1968024031%2C80226347031&pf_rd_m=A1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF&pf_rd_p=39c07540-1c20-4bfc-a531-3c197ce08b4d%2Ca5f5c43e-cfc4-45c4-a60b-9e77b08f9433%2Cc7e10fa2-a46e-43e8-9b05-58ee2e051518%2C74ddd0ab-3943-417e-b57a-a94ca1df198a&pf_rd_r=BPPR7FMSDSNJ98RHWM2R%2CGGJ8GNJN3CSG17A83ST6%2CK1M2MG5Z769C057N0ZDB%2CVRJBF5CHSTVE3F8NZEND&pf_rd_s=merchandised-search-6%2Cmerchandised-search-7%2Cmerchandised-search-7%2Cmerchandised-search-7&qid=1693228388&rnid=1318475031&ref=sr_pg_1,
Puma,"1,299",559,57,https://www.amazon.in/s?i=apparel&bbn=1968120031&rh=n%3A1968120031%2Cp_85%3A10440599031%2Cp_n_specials_match%3A21618256031%2Cp_89%3AAdidas%7CAllen+Solly%7CAmazon+Brand+-+Symbol%7CCalvin+Klein%7CChromozome%7CColumbia%7CDuke%7CFila%7CJack+%26+Jones%7CJockey%7CLee%7CLee+Cooper%7CLevi%27s%7CMarks+%26+Spencer%7CMonte+Carlo%7CNike%7CPARK+AVENUE%7CPark+Avenue%7CPepe+Jeans%7CPeter+England%7CPuma%7CRed+Tape%7CReebok%7CSpykar%7CTommy+Hilfiger%7CU.S.+POLO+ASSN.%7CUSPA%7CUnited+Colors+of+Benetton%7CVan+Heusen%7CVan+Heusen+Athleisure%7CWrangler%7Cblackberrys%2Cp_n_pct-off-with-tax%3A50-%2Cp_72%3A1318476031&s=review-rank&dc&hidden-keywords=-women-woman-short-girl-boy-shoe-pant&pf_rd_i=1968024031%2C1968024031%2C1968024031%2C80226347031&pf_rd_m=A1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF&pf_rd_p=39c07540-1c20-4bfc-a531-3c197ce08b4d%2Ca5f5c43e-cfc4-45c4-a60b-9e77b08f9433%2Cc7e10fa2-a46e-43e8-9b05-58ee2e051518%2C74ddd0ab-3943-417e-b57a-a94ca1df198a&pf_rd_r=BPPR7FMSDSNJ98RHWM2R%2CGGJ8GNJN3CSG17A83ST6%2CK1M2MG5Z769C057N0ZDB%2CVRJBF5CHSTVE3F8NZEND&pf_rd_s=merchandised-search-6%2Cmerchandised-search-7%2Cmerchandised-search-7%2Cmerchandised-search-7&qid=1693228388&rnid=1318475031&ref=sr_pg_1,
Amazon Brand - Symbol,"2,097",898,57,https://www.amazon.in/s?i=apparel&bbn=1968120031&rh=n%3A1968120031%2Cp_85%3A10440599031%2Cp_n_specials_match%3A21618256031%2Cp_89%3AAdidas%7CAllen+Solly%7CAmazon+Brand+-+Symbol%7CCalvin+Klein%7CChromozome%7CColumbia%7CDuke%7CFila%7CJack+%26+Jones%7CJockey%7CLee%7CLee+Cooper%7CLevi%27s%7CMarks+%26+Spencer%7CMonte+Carlo%7CNike%7CPARK+AVENUE%7CPark+Avenue%7CPepe+Jeans%7CPeter+England%7CPuma%7CRed+Tape%7CReebok%7CSpykar%7CTommy+Hilfiger%7CU.S.+POLO+ASSN.%7CUSPA%7CUnited+Colors+of+Benetton%7CVan+Heusen%7CVan+Heusen+Athleisure%7CWrangler%7Cblackberrys%2Cp_n_pct-off-with-tax%3A50-%2Cp_72%3A1318476031&s=review-rank&dc&hidden-keywords=-women-woman-short-girl-boy-shoe-pant&pf_rd_i=1968024031%2C1968024031%2C1968024031%2C80226347031&pf_rd_m=A1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF&pf_rd_p=39c07540-1c20-4bfc-a531-3c197ce08b4d%2Ca5f5c43e-cfc4-45c4-a60b-9e77b08f9433%2Cc7e10fa2-a46e-43e8-9b05-58ee2e051518%2C74ddd0ab-3943-417e-b57a-a94ca1df198a&pf_rd_r=BPPR7FMSDSNJ98RHWM2R%2CGGJ8GNJN3CSG17A83ST6%2CK1M2MG5Z769C057N0ZDB%2CVRJBF5CHSTVE3F8NZEND&pf_rd_s=merchandised-search-6%2Cmerchandised-search-7%2Cmerchandised-search-7%2Cmerchandised-search-7&qid=1693228388&rnid=1318475031&ref=sr_pg_1,
Puma,"3,499","1,603.",54,https://www.amazon.in/s?i=apparel&bbn=1968120031&rh=n%3A1968120031%2Cp_85%3A10440599031%2Cp_n_specials_match%3A21618256031%2Cp_89%3AAdidas%7CAllen+Solly%7CAmazon+Brand+-+Symbol%7CCalvin+Klein%7CChromozome%7CColumbia%7CDuke%7CFila%7CJack+%26+Jones%7CJockey%7CLee%7CLee+Cooper%7CLevi%27s%7CMarks+%26+Spencer%7CMonte+Carlo%7CNike%7CPARK+AVENUE%7CPark+Avenue%7CPepe+Jeans%7CPeter+England%7CPuma%7CRed+Tape%7CReebok%7CSpykar%7CTommy+Hilfiger%7CU.S.+POLO+ASSN.%7CUSPA%7CUnited+Colors+of+Benetton%7CVan+Heusen%7CVan+Heusen+Athleisure%7CWrangler%7Cblackberrys%2Cp_n_pct-off-with-tax%3A50-%2Cp_72%3A1318476031&s=review-rank&dc&hidden-keywords=-women-woman-short-girl-boy-shoe-pant&pf_rd_i=1968024031%2C1968024031%2C1968024031%2C80226347031&pf_rd_m=A1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF&pf_rd_p=39c07540-1c20-4bfc-a531-3c197ce08b4d%2Ca5f5c43e-cfc4-45c4-a60b-9e77b08f9433%2Cc7e10fa2-a46e-43e8-9b05-58ee2e051518%2C74ddd0ab-3943-417e-b57a-a94ca1df198a&pf_rd_r=BPPR7FMSDSNJ98RHWM2R%2CGGJ8GNJN3CSG17A83ST6%2CK1M2MG5Z769C057N0ZDB%2CVRJBF5CHSTVE3F8NZEND&pf_rd_s=merchandised-search-6%2Cmerchandised-search-7%2Cmerchandised-search-7%2Cmerchandised-search-7&qid=1693228388&rnid=1318475031&ref=sr_pg_1,
U.S. POLO ASSN.,"1,899",899,53,https://www.amazon.in/s?i=apparel&bbn=1968120031&rh=n%3A1968120031%2Cp_85%3A10440599031%2Cp_n_specials_match%3A21618256031%2Cp_89%3AAdidas%7CAllen+Solly%7CAmazon+Brand+-+Symbol%7CCalvin+Klein%7CChromozome%7CColumbia%7CDuke%7CFila%7CJack+%26+Jones%7CJockey%7CLee%7CLee+Cooper%7CLevi%27s%7CMarks+%26+Spencer%7CMonte+Carlo%7CNike%7CPARK+AVENUE%7CPark+Avenue%7CPepe+Jeans%7CPeter+England%7CPuma%7CRed+Tape%7CReebok%7CSpykar%7CTommy+Hilfiger%7CU.S.+POLO+ASSN.%7CUSPA%7CUnited+Colors+of+Benetton%7CVan+Heusen%7CVan+Heusen+Athleisure%7CWrangler%7Cblackberrys%2Cp_n_pct-off-with-tax%3A50-%2Cp_72%3A1318476031&s=review-rank&dc&hidden-keywords=-women-woman-short-girl-boy-shoe-pant&pf_rd_i=1968024031%2C1968024031%2C1968024031%2C80226347031&pf_rd_m=A1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF&pf_rd_p=39c07540-1c20-4bfc-a531-3c197ce08b4d%2Ca5f5c43e-cfc4-45c4-a60b-9e77b08f9433%2Cc7e10fa2-a46e-43e8-9b05-58ee2e051518%2C74ddd0ab-3943-417e-b57a-a94ca1df198a&pf_rd_r=BPPR7FMSDSNJ98RHWM2R%2CGGJ8GNJN3CSG17A83ST6%2CK1M2MG5Z769C057N0ZDB%2CVRJBF5CHSTVE3F8NZEND&pf_rd_s=merchandised-search-6%2Cmerchandised-search-7%2Cmerchandised-search-7%2Cmerchandised-search-7&qid=1693228388&rnid=1318475031&ref=sr_pg_1,
Jack & Jones,"1,799",719,60,https://www.amazon.in/s?i=apparel&bbn=1968120031&rh=n%3A1968120031%2Cp_85%3A10440599031%2Cp_n_specials_match%3A21618256031%2Cp_89%3AAdidas%7CAllen+Solly%7CAmazon+Brand+-+Symbol%7CCalvin+Klein%7CChromozome%7CColumbia%7CDuke%7CFila%7CJack+%26+Jones%7CJockey%7CLee%7CLee+Cooper%7CLevi%27s%7CMarks+%26+Spencer%7CMonte+Carlo%7CNike%7CPARK+AVENUE%7CPark+Avenue%7CPepe+Jeans%7CPeter+England%7CPuma%7CRed+Tape%7CReebok%7CSpykar%7CTommy+Hilfiger%7CU.S.+POLO+ASSN.%7CUSPA%7CUnited+Colors+of+Benetton%7CVan+Heusen%7CVan+Heusen+Athleisure%7CWrangler%7Cblackberrys%2Cp_n_pct-off-with-tax%3A50-%2Cp_72%3A1318476031&s=review-rank&dc&hidden-keywords=-women-woman-short-girl-boy-shoe-pant&pf_rd_i=1968024031%2C1968024031%2C1968024031%2C80226347031&pf_rd_m=A1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF&pf_rd_p=39c07540-1c20-4bfc-a531-3c197ce08b4d%2Ca5f5c43e-cfc4-45c4-a60b-9e77b08f9433%2Cc7e10fa2-a46e-43e8-9b05-58ee2e051518%2C74ddd0ab-3943-417e-b57a-a94ca1df198a&pf_rd_r=BPPR7FMSDSNJ98RHWM2R%2CGGJ8GNJN3CSG17A83ST6%2CK1M2MG5Z769C057N0ZDB%2CVRJBF5CHSTVE3F8NZEND&pf_rd_s=merchandised-search-6%2Cmerchandised-search-7%2Cmerchandised-search-7%2Cmerchandised-search-7&qid=1693228388&rnid=1318475031&ref=sr_pg_1,
Puma,"4,299","1,562",64,https://www.amazon.in/s?i=apparel&bbn=1968120031&rh=n%3A1968120031%2Cp_85%3A10440599031%2Cp_n_specials_match%3A21618256031%2Cp_89%3AAdidas%7CAllen+Solly%7CAmazon+Brand+-+Symbol%7CCalvin+Klein%7CChromozome%7CColumbia%7CDuke%7CFila%7CJack+%26+Jones%7CJockey%7CLee%7CLee+Cooper%7CLevi%27s%7CMarks+%26+Spencer%7CMonte+Carlo%7CNike%7CPARK+AVENUE%7CPark+Avenue%7CPepe+Jeans%7CPeter+England%7CPuma%7CRed+Tape%7CReebok%7CSpykar%7CTommy+Hilfiger%7CU.S.+POLO+ASSN.%7CUSPA%7CUnited+Colors+of+Benetton%7CVan+Heusen%7CVan+Heusen+Athleisure%7CWrangler%7Cblackberrys%2Cp_n_pct-off-with-tax%3A50-%2Cp_72%3A1318476031&s=review-rank&dc&hidden-keywords=-women-woman-short-girl-boy-shoe-pant&pf_rd_i=1968024031%2C1968024031%2C1968024031%2C80226347031&pf_rd_m=A1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF&pf_rd_p=39c07540-1c20-4bfc-a531-3c197ce08b4d%2Ca5f5c43e-cfc4-45c4-a60b-9e77b08f9433%2Cc7e10fa2-a46e-43e8-9b05-58ee2e051518%2C74ddd0ab-3943-417e-b57a-a94ca1df198a&pf_rd_r=BPPR7FMSDSNJ98RHWM2R%2CGGJ8GNJN3CSG17A83ST6%2CK1M2MG5Z769C057N0ZDB%2CVRJBF5CHSTVE3F8NZEND&pf_rd_s=merchandised-search-6%2Cmerchandised-search-7%2Cmerchandised-search-7%2Cmerchandised-search-7&qid=1693228388&rnid=1318475031&ref=sr_pg_1,
U.S. POLO ASSN.,"1,899",880.,54,https://www.amazon.in/s?i=apparel&bbn=1968120031&rh=n%3A1968120031%2Cp_85%3A10440599031%2Cp_n_specials_match%3A21618256031%2Cp_89%3AAdidas%7CAllen+Solly%7CAmazon+Brand+-+Symbol%7CCalvin+Klein%7CChromozome%7CColumbia%7CDuke%7CFila%7CJack+%26+Jones%7CJockey%7CLee%7CLee+Cooper%7CLevi%27s%7CMarks+%26+Spencer%7CMonte+Carlo%7CNike%7CPARK+AVENUE%7CPark+Avenue%7CPepe+Jeans%7CPeter+England%7CPuma%7CRed+Tape%7CReebok%7CSpykar%7CTommy+Hilfiger%7CU.S.+POLO+ASSN.%7CUSPA%7CUnited+Colors+of+Benetton%7CVan+Heusen%7CVan+Heusen+Athleisure%7CWrangler%7Cblackberrys%2Cp_n_pct-off-with-tax%3A50-%2Cp_72%3A1318476031&s=review-rank&dc&hidden-keywords=-women-woman-short-girl-boy-shoe-pant&pf_rd_i=1968024031%2C1968024031%2C1968024031%2C80226347031&pf_rd_m=A1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF&pf_rd_p=39c07540-1c20-4bfc-a531-3c197ce08b4d%2Ca5f5c43e-cfc4-45c4-a60b-9e77b08f9433%2Cc7e10fa2-a46e-43e8-9b05-58ee2e051518%2C74ddd0ab-3943-417e-b57a-a94ca1df198a&pf_rd_r=BPPR7FMSDSNJ98RHWM2R%2CGGJ8GNJN3CSG17A83ST6%2CK1M2MG5Z769C057N0ZDB%2CVRJBF5CHSTVE3F8NZEND&pf_rd_s=merchandised-search-6%2Cmerchandised-search-7%2Cmerchandised-search-7%2Cmerchandised-search-7&qid=1693228388&rnid=1318475031&ref=sr_pg_1,
Pepe Jeans,"1,599",559,65,https://www.amazon.in/s?i=apparel&bbn=1968120031&rh=n%3A1968120031%2Cp_85%3A10440599031%2Cp_n_specials_match%3A21618256031%2Cp_89%3AAdidas%7CAllen+Solly%7CAmazon+Brand+-+Symbol%7CCalvin+Klein%7CChromozome%7CColumbia%7CDuke%7CFila%7CJack+%26+Jones%7CJockey%7CLee%7CLee+Cooper%7CLevi%27s%7CMarks+%26+Spencer%7CMonte+Carlo%7CNike%7CPARK+AVENUE%7CPark+Avenue%7CPepe+Jeans%7CPeter+England%7CPuma%7CRed+Tape%7CReebok%7CSpykar%7CTommy+Hilfiger%7CU.S.+POLO+ASSN.%7CUSPA%7CUnited+Colors+of+Benetton%7CVan+Heusen%7CVan+Heusen+Athleisure%7CWrangler%7Cblackberrys%2Cp_n_pct-off-with-tax%3A50-%2Cp_72%3A1318476031&s=review-rank&dc&hidden-keywords=-women-woman-short-girl-boy-shoe-pant&pf_rd_i=1968024031%2C1968024031%2C1968024031%2C80226347031&pf_rd_m=A1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF&pf_rd_p=39c07540-1c20-4bfc-a531-3c197ce08b4d%2Ca5f5c43e-cfc4-45c4-a60b-9e77b08f9433%2Cc7e10fa2-a46e-43e8-9b05-58ee2e051518%2C74ddd0ab-3943-417e-b57a-a94ca1df198a&pf_rd_r=BPPR7FMSDSNJ98RHWM2R%2CGGJ8GNJN3CSG17A83ST6%2CK1M2MG5Z769C057N0ZDB%2CVRJBF5CHSTVE3F8NZEND&pf_rd_s=merchandised-search-6%2Cmerchandised-search-7%2Cmerchandised-search-7%2Cmerchandised-search-7&qid=1693228388&rnid=1318475031&ref=sr_pg_1,
Puma,"1,599",720,55,https://www.amazon.in/s?i=apparel&bbn=1968120031&rh=n%3A1968120031%2Cp_85%3A10440599031%2Cp_n_specials_match%3A21618256031%2Cp_89%3AAdidas%7CAllen+Solly%7CAmazon+Brand+-+Symbol%7CCalvin+Klein%7CChromozome%7CColumbia%7CDuke%7CFila%7CJack+%26+Jones%7CJockey%7CLee%7CLee+Cooper%7CLevi%27s%7CMarks+%26+Spencer%7CMonte+Carlo%7CNike%7CPARK+AVENUE%7CPark+Avenue%7CPepe+Jeans%7CPeter+England%7CPuma%7CRed+Tape%7CReebok%7CSpykar%7CTommy+Hilfiger%7CU.S.+POLO+ASSN.%7CUSPA%7CUnited+Colors+of+Benetton%7CVan+Heusen%7CVan+Heusen+Athleisure%7CWrangler%7Cblackberrys%2Cp_n_pct-off-with-tax%3A50-%2Cp_72%3A1318476031&s=review-rank&dc&hidden-keywords=-women-woman-short-girl-boy-shoe-pant&pf_rd_i=1968024031%2C1968024031%2C1968024031%2C80226347031&pf_rd_m=A1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF%2CA1VBAL9TL5WCBF&pf_rd_p=39c07540-1c20-4bfc-a531-3c197ce08b4d%2Ca5f5c43e-cfc4-45c4-a60b-9e77b08f9433%2Cc7e10fa2-a46e-43e8-9b05-58ee2e051518%2C74ddd0ab-3943-417e-b57a-a94ca1df198a&pf_rd_r=BPPR7FMSDSNJ98RHWM2R%2CGGJ8GNJN3CSG17A83ST6%2CK1M2MG5Z769C057N0ZDB%2CVRJBF5CHSTVE3F8NZEND&pf_rd_s=merchandised-search-6%2Cmerchandised-search-7%2Cmerchandised-search-7%2Cmerchandised-search-7&qid=1693228388&rnid=1318475031&ref=sr_pg_1,
